,text,user
0,RT @mishakatia46ya1: @realDonaldTrump This man was elected... we the people never had anyone in the Oval Office to help fight against them…,chris0416541
1,@realdonaldtrump D88FD40B :参戦ID 参加者募集！ Lv120 ホルス https://t.co/0H0CukIcb2,tiga1023325
2,@realDonaldTrump @POTUS Will the world come for you? #youtryandfail,youtryandfail
3,@realDonaldTrump 8C0BEFDF :参戦ID 参加者募集！ Lv150 プロトバハムート https://t.co/mVz7aNxEsb,d78963d
4,@realdonaldtrump 3C448F1D :参戦ID 参加者募集！ Lv120 ホルス https://t.co/0H0Cukq2WU,tiga1023325
5,"@RealDonaldTrump accidentally called Vladimir Putin ""Dad"" during their meeting https://t.co/LGqheRArH0",LibelTrump
6,@realDonaldTrump You lost the popular vote by more than 2.8 million. Sad!,2point8million
7,@realDonaldTrump                    A17EFDB0 :参戦ID 参加者募集！ Lv200 ガレヲン https://t.co/DmnGySjv7y,BNKMKN
8,@realdonaldtrump 7DD50C93 :参戦ID 参加者募集！ Lv150 プロトバハムート https://t.co/qTBwLiIWEd,36182829andrew
9,@realdonaldtrump 3A96B554 :参戦ID 参加者募集！ Lv150 プロトバハムート https://t.co/9hfg0vS3nH,tiga1023325
10,RT @Gregory310x: @realDonaldTrump 💥 https://t.co/Fuph8j1nwY,Tracy06079521
11,@realDonaldTrump is a fascist,virus50030024
12,@realDonaldTrump @POTUS Is America great yet?,IsItGreatYetBot
13,RT @JohnRiv4: @realDonaldTrump https://t.co/T7sOq8f8hQ,Greeny85488270
14,@RealDonaldTrump is so broke he can't afford to pay his contractors #Trump,LibelTrump
15,"@realDonaldTrump tells Democrats the TRUTH... That what is REALLY a threat to America, is that #Democrat Leaders ar… https://t.co/loWZzs5uip",Liberal_Forum
16,RT @JasonXRayScott: @realDonaldTrump @SecretService @WhiteHouse listen to this guy ask me about drug pipe...he was following me around stal…,jasons_cott
17,RT @JasonXRayScott: @realDonaldTrump 1. hese people are the fall guys but security told me it's the government that has the spy equipment i…,jasons_cott
18,@RealDonaldTrump wants more women in the workplace so he can take upskirt photos of them @NBCNews,LibelTrump
19,@realDonaldTrump @KremlinRussia_E @PRC_President @PMOIndia @JPN_PMO @jairbolsonaro @PresidencyZA @PresidentMexico… https://t.co/eVzAWUhMm4,MondferL
20,@realDonaldTrump #USA @JoeBiden  #FJoeBiden #USAIsAFraud https://t.co/0eqEuaU6Xz,carlosm55767067
21,@realdonaldtrump #遅いじゃんすいれんっ,chagi_1112
22,"RT @RWTrollPatrol: @realDonaldTrump This video has 16 million views, let's get it up to 20 million before the end of the month.   It's the…",urbanspielYT
23,@realdonaldtrump E9CFE7DB :参戦ID 参加者募集！ Lv150 プロトバハムート https://t.co/PHfos66tMq,darkebiru
24,@RealDonaldTrump has not adequately staffed the Pentagon https://t.co/LGqheRS2yy,LibelTrump
